content,score,sentimen,content_clean
"saya mau tarik saldo tokopedia saja tidak bisa sangat mengecewakan, mending di lazada lebih mudah penarikanya",1,negatif,tarik saldo tokopedia mengecewakan mending lazada mudah penarikanya
Oke,5,positif,oke
aplikasi gagal ongkir selangit tidak bagus,1,negatif,aplikasi gagal ongkir selangit bagus
"banyak banget penipuan di apk ini dan juga bingung mau ngelaporin gimana,",1,negatif,banget penipuan apk bingung ngelaporin gimana
ini jelas lebih baik daripada toko oren,5,positif,toko oren
Ga ada gratis ongkir,1,negatif,ga gratis ongkir
"uda gw uninstal, apa apaan gk ada SDM lokal, malah banyaknya WNA, tak sudi aku belanja lagi di toped.",1,negatif,uda gw uninstal gk sdm lokal banyaknya wna sudi belanja toped
"belanja di Tokopedia di tipu,barang kurang,video unboxing dikirim,tetap aja nga diganti...nga sekali kali deh belanja di Tokopedia lagi",1,negatif,belanja tokopedia tipubarang kurangvideo unboxing dikirimtetap aja nga digantinga kali deh belanja tokopedia
good,5,positif,good
bagus banget KLO byar pulsa nya muruh,5,positif,bagus banget klo byar pulsa nya muruh
Apalah Promo2 gabisa;!!!,3,netral,apalah promo gabisa
mantap,5,positif,mantap
"gk niat banget kasi promo,pas promonya dipake gk bisa +ongkirnya muahal",2,negatif,gk niat banget kasi promopas promonya dipake gk ongkirnya muahal
"co klo dibatalin sistem masuk saldo tokped jir, pdhl byr pke qris. mn klo narik haria veriv ktp hadehh, g lgi gw pke tokped.",1,negatif,co klo dibatalin sistem masuk saldo tokped jir pdhl byr pke qris mn klo narik haria veriv ktp hadehh g lgi gw pke tokped
ok,5,positif,ok
"Promo ga berlaku tapi harganya ada promo, membingungkan",1,negatif,promo ga berlaku harganya promo membingungkan
Aneh ih.... Masa lagi even ga ada gratis ongkirrrrr,1,negatif,aneh ih even ga gratis ongkirrrrr
keren,5,positif,keren
"semenjak di update aplikasinya, mau buka tokopedia lemot banget..padahal jaringan bagus",1,negatif,semenjak update aplikasinya buka tokopedia lemot bangetpadahal jaringan bagus
Promonya ga bisa dipakai,1,negatif,promonya ga dipakai
mantap promonya,4,positif,mantap promonya
"APLIKASI PENIPU!!! Disuruh aktifin Tiktok Paylater biar dapat voucher diskon 50rb, pas udah aktif malah gak dapat voucher diskon. dasar penipu.",1,negatif,aplikasi penipu disuruh aktifin tiktok paylater biar voucher diskon rb pas udah aktif gak voucher diskon dasar penipu
"ada beberapa akun rekening di aplikasi ini, ovo,dana,saldo tokopedia. tapi sayangnya pembayaranya gak bisa di di doble pakai rekening lain. misalnya saldo ovo kurang, tapi rekening dana ada tambahan. itu gak bisa di akumulasi total pembayaran. menurut saya percuma banyak rekening untuk pembayaran tetapi tidak bisa di akumulasi.",4,positif,akun rekening aplikasi ovodanasaldo tokopedia sayangnya pembayaranya gak doble pakai rekening saldo ovo rekening dana tambahan gak akumulasi total pembayaran rekening pembayaran akumulasi
Good,3,netral,good
bagus banget,5,positif,bagus banget
good,5,positif,good
Belanja apapun bisa disini banyak promo nya lagi,5,positif,belanja apapun promo nya
tolong notifnya bikin panik,2,negatif,tolong notifnya bikin panik
sangat membantu,5,positif,membantu
prosesnya Bagus dan Cepat,5,positif,prosesnya bagus cepat
pengalaman lumayan,5,positif,pengalaman lumayan
Lama banget sih buat transfer duit dari saldo tokped ke rekening 😤,1,negatif,banget sih transfer duit saldo tokped rekening
oke,5,positif,oke
oke polllll✌️👍🙏,5,positif,oke polllll
keren,5,positif,keren
bug nya banyak,1,negatif,bug nya
tokop pedia mantap,5,positif,tokop pedia mantap
Aplikasi nya Oke rekomended,5,positif,aplikasi nya oke rekomended
oke,5,positif,oke
"Voucher pengguna baru hanya tampil di akun, tetapi tidak bisa digunakan saat checkout. CS tidak memberikan alasan yang jelas, hanya menyuruh membaca S&K. Kurang transparan.",1,negatif,voucher pengguna tampil akun checkout cs alasan menyuruh membaca sk transparan
tolong dong optimalin bug²nya masa saya transaksi belum melakukan pembayaran di menu menunggu pembayaran ga ada tolong lah kak perbaiki performanya dlu kayanya bagus makin kesini apk nya banyak bgt bug² ga jelas,2,negatif,tolong optimalin bug²nya transaksi pembayaran menu menunggu pembayaran ga tolong kak perbaiki performanya dlu kayanya bagus kesini apk nya bgt bug² ga
dana ditahan mau ditarik sangat ribet sampe skrg akun malah dinonaktifkan sama pihak tokped disaat ada saldo aktif disitu,1,negatif,dana ditahan ditarik ribet sampe skrg akun dinonaktifkan tokped disaat saldo aktif disitu
tokopedia ini kenapa kok vocer nya digunakan gak bisa padahal ada aneh nyesel kalau gini pakek dan gak bisa diganti yang baru lagi,1,negatif,tokopedia vocer nya gak aneh nyesel gini pakek gak diganti
"makin parah intinya,niatnya pengen pindah dari toko oren ehh nih si ijo malah makin gila gak ngotak",1,negatif,parah intinyaniatnya pengen pindah toko oren ehh nih si ijo gila gak ngotak
"apk gk jelas ngasih voucher tpi gk bisa digunain buat apa??? keterangannya selalu promo tidak berlaku pdhl saya udh memenuhi semua persyaratan mulai dari data diri akun, syarat pelanggan baru, syarat produk tertentu, dan waktu voucher juga masih ada 13 jam ttp aja masih gk bisa dasar apk tll",1,negatif,apk gk ngasih voucher tpi gk digunain keterangannya promo berlaku pdhl udh memenuhi persyaratan data akun syarat pelanggan syarat produk voucher jam ttp aja gk dasar apk tll
"gak usah belanja di sini, jika pembelian lu kena cancel, saldo langsung mengendap di tokped, mau narik gak bisa kalo di bawah 50 ribu, mau dipake belanja dan gabungin kekurangan saldonya dengan metode pembayaran lain juga gabisa, top up pun gak bisa, costumer care gak solutif dan nutup chat tanpa persetujuan..kurang apa sih ini aplikasi nahan duit konsumen pake trik jorok di ekonomi yang serba susah ini..",1,negatif,gak belanja pembelian lu kena cancel saldo langsung mengendap tokped narik gak kalo ribu dipake belanja gabungin kekurangan saldonya metode pembayaran gabisa top up gak costumer care gak solutif nutup chat persetujuankurang sih aplikasi nahan duit konsumen pake trik jorok ekonomi serba susah
"aplikasi nya ga banget, katanya pengguna baru bisa dapat diskon dan gratis ongkir, tapi mengapa saat ingin melakukan pembayaran tidak bisa?",2,negatif,aplikasi nya ga banget pengguna diskon gratis ongkir pembayaran
"aplikasi ribet, saya pengajuan ganti nomor katanya nunggu sehari tapi udah 2 hari gak ada kejelasan..",1,negatif,aplikasi ribet pengajuan ganti nomor nunggu sehari udah gak kejelasan
sangat go0d.,5,positif,god
Tokopedia bagaimana ini kok akhir akhir ini makin payah sy membatalkan transaksi tpi saldo refund tdk bisa di tarik mohon penjelasan nya makin kesini makin payah tolong kembalikan dana refund sy,3,netral,tokopedia payah sy membatalkan transaksi tpi saldo refund tdk tarik mohon penjelasan nya kesini payah tolong kembalikan dana refund sy
"jujur bagus sih,banyak diskon dan promonya,gw suka banget sih mana cepet lagi sekarang tapi sekarang kok kebanyakan pas gw cari haada",4,positif,jujur bagus sihbanyak diskon promonyagw suka banget sih cepet kebanyakan pas gw cari haada
kenapa sekarang belanja di sini mahal mahal,3,netral,belanja mahal mahal
iklan nya selalu muncul,1,negatif,iklan nya muncul
mantap,5,positif,mantap
"akhir akhir ini banyak toko penipu di tokopedia,, mereka menyebabkan rugi waktu dan finacial... udh pesan , eh ga di kirim kirim padahal barang banyak... bener bener sial belanja di tokopedia",1,negatif,toko penipu tokopedia menyebabkan rugi finacial udh pesan eh ga kirim kirim barang bener bener sial belanja tokopedia
"saya mau pake promo pelanggan baru malah gabisa bisa, padahal limit waktunya masih ada 15 jam lagi, aneh, mau payment malah ""promo sudah tidak bisa digunakan"" padahal aku baru download+belum beli apa apa, terus juga aku beneran pengguna baru, baru pernah download di HP ini sekarang+akun google ku masih fresh",1,negatif,pake promo pelanggan gabisa limit jam aneh payment promo downloadbelum beli beneran pengguna download hp sekarangakun google ku fresh
"aplikasi eror gak bisa tarik saldo, tombol transaksi juga tidak bisa di klick.",1,negatif,aplikasi eror gak tarik saldo tombol transaksi klick
goodluck,5,positif,goodluck
"saya sebagai pengguna baru mencoba untuk check out, saya mendapatkan promo sebagai pengguna baru, namun ketika di check out tidak bisa transaksi, 'terjadi kendala. Transaksi tidak dapat diproses', saya kecewa, karena ini pertama kali nya saya berbelanja online ditokopedia namun transaksi pertama kali saya tidak dapat diproses.",2,negatif,pengguna mencoba check out promo pengguna check out transaksi kendala transaksi diproses kecewa kali nya berbelanja online ditokopedia transaksi kali diproses
lemot banget... scrol cari produk. kalah jauh sama shop oren dan laz,1,negatif,lemot banget scrol cari produk kalah shop oren laz
mudah cepat,5,positif,mudah cepat
trimakasih,5,positif,trimakasih
"tolong perbaiki lagi kondisi networknya ini aplikasi, dari tadi ngelag mulu",3,netral,tolong perbaiki kondisi networknya aplikasi ngelag mulu
voucher banyak tapi gaada yang bisa di pake,1,negatif,voucher gaada pake
tolong ya proses KYC verificationnya dipercepat. itu uang saya ga bisa ditarik loh. mau transaksi yg nilainya lbh dr saldo tokped jg gak bs digabung dengan metode pembayaran lain. masa tiba2 ada proses verifikasi lg & lama bgt lg kerjanya. kecewa bgt sm tokped.,1,negatif,tolong ya proses kyc verificationnya dipercepat uang ga ditarik loh transaksi yg nilainya lbh dr saldo tokped jg gak bs digabung metode pembayaran proses verifikasi lg bgt lg kerjanya kecewa bgt sm tokped
Mantap! Ini saingan berat Shopee!,5,positif,mantap saingan berat shopee
mantap,5,positif,mantap
payah skrng..tarik saldo aja susah bngt..udh verifikasi bulak balik bgt terus..makin gak jelas Luh.. segitu duit gw..susah bngt mau narik saldo..,2,negatif,payah skrngtarik saldo aja susah bngtudh verifikasi bulak bgt terusmakin gak luh segitu duit gwsusah bngt narik saldo
saya kan pengguna baru tapi kok harganya pas di checkout jadi mahal kenapa si ga bisa di gunakan voucher nya. 😡😡😡😡😡😡😡 kenapa sih harus di persulitkan,1,negatif,pengguna harganya pas checkout mahal si ga voucher nya sih persulitkan
Pelatanan mantap,5,positif,pelatanan mantap
Ini kirim barangnya bisa berapa hari ya? Tolong dong tokopedia jawabannya,5,positif,kirim barangnya ya tolong tokopedia jawabannya
"aplikasi pembohongan publik, dpt vocher tp gabisa di pake, apaan dah",1,negatif,aplikasi pembohongan publik dpt vocher tp gabisa pake dah
mudah berbelaja,5,positif,mudah berbelaja
Tokopedia tolong untuk pengiriman barang jangan lewat JNT aja soalnya sering stuck pengiriman dan sering mengulur ulur waktu pengiriman sangat tidak puas,1,negatif,tokopedia tolong pengiriman barang jnt aja stuck pengiriman mengulur ulur pengiriman puas
Puas banget,5,positif,puas banget
mantap,5,positif,mantap
"parah bayar pake dana eh pengembalian dana harus pake bank , aneh",1,negatif,parah bayar pake dana eh pengembalian dana pake bank aneh
kerreenn,5,positif,kerreenn
aplikasi jos bagus rekomend banget makasih Tokopedia,5,positif,aplikasi jos bagus rekomend banget makasih tokopedia
peluang bisnis dan efisiensi waktu untuk belanja,5,positif,peluang bisnis efisiensi belanja
mantap jiwaa,5,positif,mantap jiwaa
"Aplikasi ragebait,gunany voucher pengguna baru apa blok gak bisa dipake",1,negatif,aplikasi ragebaitgunany voucher pengguna blok gak dipake
jangan mau download aplikasi ini .penipu cuman mau ngambil data kita saja ..aplikasi paling rumit ..,1,negatif,download aplikasi penipu cuman ngambil data aplikasi rumit
SUKA BGTTT BELANJA DISINI BANYAK DISKON LOVE BGTTT TOKPED SEMOGA MASUK SURGA MWAH😘😘,5,positif,suka bgttt belanja diskon love bgttt tokped semoga masuk surga mwah
setiap mau cekout terkendala terus. dan gagal terus. kenapa sih ini. lama2 malah darting sendiri. aplikasi sebelah gak prnh sprti aplikasi ini. tiap mau co terkendala terus.. mohon diperbaiki lagi sistem nya.,2,negatif,cekout terkendala gagal sih darting aplikasi sebelah gak prnh sprti aplikasi co terkendala mohon diperbaiki sistem nya
"bagus, responsif.",4,positif,bagus responsif
saya hanya pakai tokped.. yang tidak,5,positif,pakai tokped
"kalau nyari produk di pencarian suka muncul 'kata kunci tidak ditemukan' 'toko tidak menjual apapun' inilah itulah padahal disitu posisi nya lagi buru buru harus co, malah muncul kaya gitu, padahal di platform lain masih ada stok, ini suka di bilang habis awalnya saya percaya kepada tokopedia taoi setelah ini, ga ga lagi belanja di tokopedia",1,negatif,nyari produk pencarian suka muncul kunci ditemukan toko menjual apapun disitu posisi nya buru buru co muncul kaya gitu platform stok suka bilang habis percaya tokopedia taoi ga ga belanja tokopedia
"Baru di-update malah gak bisa melakukan pencarian. Kenapa tidak bisa melakukan pencarian dengan kata kunci apapun baru kali ini kecewa, biasanya selalu aman",1,negatif,diupdate gak pencarian pencarian kunci apapun kali kecewa aman
Tokopedia the best paling oke⭐⭐⭐⭐⭐,5,positif,tokopedia the best oke
"voucher gabisa dipake, saldo tokopedia ga bisa ditarik",1,negatif,voucher gabisa dipake saldo tokopedia ga ditarik
mantap sih,5,positif,mantap sih
"Tengah malam banyak Bug nya, udah bolak-balik di refresh ga muncul gambar produk di halaman dan pencarian produkpun sama dan malah lebih parah yg mana produk tidak ditemukan. Sudah coba tutup apk dan ganti jaringan masih tetap sama",1,negatif,malam bug nya udah bolakbalik refresh ga muncul gambar produk halaman pencarian produkpun parah yg produk ditemukan coba tutup apk ganti jaringan
tolong yaa buat bug pencairan perbaiki ga sengaja mencet filter pencarian biasa kan bisa balik lagi ini engga malah setiap nyari kosong terus,5,positif,tolong yaa bug pencairan perbaiki ga sengaja mencet filter pencarian engga nyari kosong
bisa beli barang dari rumah tanpa ke toko langsung,5,positif,beli barang rumah toko langsung
apaan banget penguna baru pake voucher penguna baru gabisa kasih alasan mulu bilang aja ga niat ngasih benci banget,1,negatif,banget penguna pake voucher penguna gabisa kasih alasan mulu bilang aja ga niat ngasih benci banget
"gratis ongkir cuma pajangan . ga bisa di pakai sama sekali, beli produk harga 19k , biaya ongkir 20k di luar logika kudanil.",1,negatif,gratis ongkir pajangan ga pakai beli produk harga k biaya ongkir k logika kudanil
ok,5,positif,ok
knpasi barangnya ga bisa cod hrs bgt pke bank/dana,4,positif,knpasi barangnya ga cod hrs bgt pke bankdana
mau di co malah ilang diskonya jirr,1,negatif,co ilang diskonya jirr
"gak jelas pesanan gak dikirim, dichat penjual gak direspon, biar ngendap uang dalam waktu lumayan lama, nunggu batal otomatis 3 hari, ngadu ke cs menunggu 48 jam,",1,negatif,gak pesanan gak dikirim dichat penjual gak direspon biar ngendap uang lumayan nunggu batal otomatis ngadu cs menunggu jam
mantap👍,5,positif,mantap
"saldo refund gak bisa langsung dikirim ke rekening nunggu beberapa hari kerja lah dan harus minim 50rb biar bisa tarik saldo, gak ada informasi tentang kapan terakhir kali toko buka jadi gak tau nih toko masih ada atau gak, cs gak bantu sama sekali",1,negatif,saldo refund gak langsung dikirim rekening nunggu kerja minim rb biar tarik saldo gak informasi kali toko buka gak tau nih toko gak cs gak bantu
Aplikasi yqng tidak melindungi konsumen jika ada kerusakan atau konsumen dirugikan pilih proteksi ajukan klaim tidak ada dimenu nya bagaimana ini rugi kita saya liat toko yang dilaporkan pun tidak ada teguran dan masih berjualan,1,negatif,aplikasi yqng melindungi konsumen kerusakan konsumen dirugikan pilih proteksi ajukan klaim dimenu nya rugi liat toko dilaporkan teguran berjualan
Ketik kata kunci (misal: promosi berlangsung) Isu Terkait Pilih Transaksi Lain 30 Jun 2026 Selesai product-img Sepatu Sneaker Pria Hitam Putih dengan Desain Modern dan Nyaman untuk Aktivitas Sehari-hari 1 barang Total:Rp104.399 Temukan solusi di artikel saya saran kan jgn pernah beli toko produk ini tidak amana/penipu,1,negatif,ketik kunci promosi isu terkait pilih transaksi jun selesai productimg sepatu sneaker pria hitam putih desain modern nyaman aktivitas seharihari barang totalrp temukan solusi artikel saran jgn beli toko produk amanapenipu
toko payah toko gak bermutu cuma mau tarik dana aja proses nya lama kya mau pinjol gak kaya Shopee dan lazada huh lemah tutup aja selamanya,1,negatif,toko payah toko gak bermutu tarik dana aja proses nya kya pinjol gak kaya shopee lazada huh lemah tutup aja
nyoba,4,positif,nyoba
"Woi tolong kembalikan uang saya, saya sudah bayar tapi pesanan tidak diproses dan saldo saya sudah terpotong. Sudah komplain ke cs pun dijawab formalitas saja, padahal nominalnya tidak besar.",1,negatif,woi tolong kembalikan uang bayar pesanan diproses saldo terpotong komplain cs formalitas nominalnya
belanja unik,5,positif,belanja unik
matap,5,positif,matap
"pesanan dibatalkan penjual, namun belum bisa si tarik uangnya, apk sudah diperbarui padahal. bagaimana ini...",3,netral,pesanan dibatalkan penjual si tarik uangnya apk diperbarui
sering eror lah,1,negatif,eror
saya sangat suka aplikasi ini.,5,positif,suka aplikasi
tolong dong bilang aja gak ikhlas ngasih voucher udah dapet murah mau chekout malah gak bisa tolong dong perbaiki,3,netral,tolong bilang aja gak ikhlas ngasih voucher udah dapet murah chekout gak tolong perbaiki
sering error,1,negatif,error
sering error. dan gk lengkap. masa raket ajh gk ada. barang sering gk nyampe alamat. kacau pokonya.,1,negatif,error gk lengkap raket ajh gk barang gk nyampe alamat kacau pokonya
tempat belanja online terbaik sejak dulu hingga sekarang tidak pernah berubah,5,positif,belanja online terbaik berubah
"payah, bikin promo aja nipu,, bilang diskon, eh totalnya malah bertambah, belajar gi sama toko sebelah",1,negatif,payah bikin promo aja nipu bilang diskon eh totalnya bertambah belajar gi toko sebelah
"Setelah Update,,Kenapa Gak bisa Cari Barang yaa...Aneeeh..",2,negatif,updatekenapa gak cari barang yaaaneeeh
pencarian barang sering tidak ditemukan.... padahal di toko online lain bisa dtemukan dengan kata kunci yang sama.... lama-lama bisa pindah toko nih kalau seperti ini terus...,3,netral,pencarian barang ditemukan toko online dtemukan kunci lamalama pindah toko nih
mudah penggunaan aplikasi,5,positif,mudah penggunaan aplikasi
"Kenapa Saat saya search Handphone Oppo Reno 14 Pro 5g‼️ Halaman di Tokopedia oops produk gak di temukan, ganti kata kunci?! Kok makin ribet yaa sudah di update ke 7.7 . Kecewa saya dengan Tokopedia aka Toko pihak ke dua makin belanja di sini",1,negatif,search handphone oppo reno pro g halaman tokopedia oops produk gak temukan ganti kunci ribet yaa update kecewa tokopedia aka toko belanja
menyenangkan banyak bonus dan gratis ongkire,5,positif,menyenangkan bonus gratis ongkire
aplikasi tll,1,negatif,aplikasi tll
nge buggg teroooooos,1,negatif,nge buggg teroooooos
sekarang toko ra genah.vocher kok raiso di klam.... gak kaya aplikasi sebelah.gak perlu klam apapun dp potongan + gratis onhkir.,1,negatif,toko ra genahvocher raiso klam gak kaya aplikasi sebelahgak klam apapun dp potongan gratis onhkir
tambah tidak jelas... CS nya juga gak gercep kayak dulu..,1,negatif,cs nya gak gercep kayak
"promony pura pura💜🥰 (pnggna bru masa ga diskon, MINIMAL DISKON DONG)",2,negatif,promony pura pura pnggna bru ga diskon minimal diskon
kupon gabisa di pake,1,negatif,kupon gabisa pake
bagus,5,positif,bagus
Tokopedia Sukses selalu 🙏👍 7.7 2026,5,positif,tokopedia sukses
Good Marketplace,5,positif,good marketplace
maaf saya uninstall kecewa,1,negatif,maaf uninstall kecewa
Aplikasi ribet Nahan nahan saldo.,1,negatif,aplikasi ribet nahan nahan saldo
"Fitur Tokopedia Play buat lihat review produk lewat video. Ada Power Merchant, cicilan 0%, dan Tokopedia Care yang respon cepat.",5,positif,fitur tokopedia play lihat review produk video power merchant cicilan tokopedia care respon cepat
cacat kode verifikasi ga kekirim kirim benerin woi,1,negatif,cacat kode verifikasi ga kekirim kirim benerin woi
kagak jelas sudah muncul iklan waktu nonton dracin mana di suruh masuk apk nya,1,negatif,kagak muncul iklan nonton dracin suruh masuk apk nya
Selalu banyakin Diskon dan Promo ya Tokped 😀,5,positif,banyakin diskon promo ya tokped
"uang lama kembali, terpaksa harus dibelanjakan, setelah ini gue hapus ini aplikasi",1,negatif,uang terpaksa dibelanjakan gue hapus aplikasi
apk jelek banyak penjual / oknum oknum nakal. pihak Tokopedia harus lebih tegas,1,negatif,apk jelek penjual oknum oknum nakal tokopedia
"mau logg in, ga bisa...... verifikasi lewat SMS malah gak dikirim kirim.......!",1,negatif,logg in ga verifikasi sms gak dikirim kirim
Toped sekarang kacau gak bisa fitur COD padahal barang prosedurnya bisa cod tapi pas ckout gak bisa saya tanya selernya katanya akun saya bermasalah kacau kacau mania,2,negatif,toped kacau gak fitur cod barang prosedurnya cod pas ckout gak selernya akun bermasalah kacau kacau mania
diskon pengguna batu telek,1,negatif,diskon pengguna batu telek
cepet,5,positif,cepet
"voucher tidak bisa diklaim di tokopedia padahal voucher tersebut memenuhi syarat, lapor ke bagian cs tidak ada kejelasan.",1,negatif,voucher diklaim tokopedia voucher memenuhi syarat lapor cs kejelasan
"tokpedia mantap bgt promoannya, insya Allah tokonya amanah😇pelayanan baik dan ramah🫶🏻",5,positif,tokpedia mantap bgt promoannya insya allah tokonya amanahpelayanan ramah
awas kegocek diskon wkwkwk,2,negatif,awas kegocek diskon wkwkwk
"Perusahaan Aplikasi sebesar Tokopedia masa sering banget error apk nya, mau lacak pesanan doang gabisa. Hebat👍.",1,negatif,perusahaan aplikasi tokopedia banget error apk nya lacak pesanan doang gabisa hebat
top,5,positif,top
kebanyakan toko yg ga niat jualan disini,1,negatif,kebanyakan toko yg ga niat jualan
Jelek,1,negatif,jelek
"Rugi banget beli TOKOPEDIA PLUS 150rb, vouchernya kaga bisa dipake cokkk 😂",1,negatif,rugi banget beli tokopedia plus rb vouchernya kaga dipake cokkk
Tidak di rekomendasikan,1,negatif,rekomendasikan
oklah,5,positif,oklah
Diskonnya membinggungkan. Harga nya jadi normal di halaman pembayaran,1,negatif,diskonnya membinggungkan harga nya normal halaman pembayaran
ok,5,positif,ok
sangat praktis belajar cukupdirumah ajah,5,positif,praktis belajar cukupdirumah ajah
"Mau beli tapi error terus, ga bisa diandalkan",1,negatif,beli error ga diandalkan
bgus,5,positif,bgus
"Voucher tidak bisa dipakai,ongkir terlalu mahaln",2,negatif,voucher dipakaiongkir mahaln
Sangat bagus,5,positif,bagus
"sy pke apk ini gabisa sistemnya error trs, padahal baru download blm di belanjain sama sekali, tp voucher nya kalo mau dipake error trs.",1,negatif,sy pke apk gabisa sistemnya error trs download blm belanjain tp voucher nya kalo dipake error trs
mantap,5,positif,mantap
sering banget lewat dari estimasi,1,negatif,banget estimasi
Cakep,5,positif,cakep
Nice,5,positif,nice
"aplikasi nya aneh vaucher tidak bissa di pakai saya jadi malas belanja online di sini,,,,,, PRANKK💜💜",4,positif,aplikasi nya aneh vaucher bissa pakai malas belanja online prankk
"masih lebih baik toko sebelah, ini lebih parah kompalin tidak pernah selesai👍👍👍 barang tidak tau larinya kemana",1,negatif,toko sebelah parah kompalin selesai barang tau larinya kemana
"maaf harus uninstall, pengiriman lama, respon seller juga lama, kurir lama, selalu molor gak tepat waktu, selisih jam gitu masih bisa di maklumi, ini molor hitungan hari 😪, sayang sekali, padahal produk anak negeri 😔😩, kurir lebih prioritas sama T*k t*k 🥱",5,positif,maaf uninstall pengiriman respon seller kurir molor gak selisih jam gitu maklumi molor hitungan sayang produk anak negeri kurir prioritas tk tk
Bagus,4,positif,bagus
woooooooooh aplikasi nya bagus banget anjiiiing gua baru mau nyoba mesen dapet harga murah banget jiiiiiiing. saran buat yg mau download Tokopedia download aja gak rugi belanja sini,5,positif,woooooooooh aplikasi nya bagus banget anjiiiing gua nyoba mesen dapet harga murah banget jiiiiiiing saran yg download tokopedia download aja gak rugi belanja
Beli belum sukses promonya hilang,1,negatif,beli sukses promonya hilang
"mohon di fix utk voucher pengguna baru, saya menggunakan akun baru dan perangkat baru yang tidak tertaut ke ponsel lama, namun akun saya terdeteksi tidak sesuai s&k, padahal akun dan perangkat saya masih baru dan belum pernah melakukan pemesanan, dan voucher malah tidak bisa digunakan. tolong untuk segera diperbaiki🙏",2,negatif,mohon fix utk voucher pengguna akun perangkat tertaut ponsel akun terdeteksi sesuai sk akun perangkat pemesanan voucher tolong diperbaiki
tokopedia joosss,5,positif,tokopedia joosss
kenapa gabisa co sih tokped padahal jaringan lancar jaya,3,netral,gabisa co sih tokped jaringan lancar jaya
"Kecewa. Download aplikasi karena promo pengguna baru, voucher sempat bisa dipilih tapi saat checkout malah error dan diminta belanja tanpa voucher, padahal suda memenuhi syarat bahkan blnja pertama sampai 300k lebih. Pengalaman pertama kurang memuaskan tolong di perbaiki sistem checkout nya terimakasih.",1,negatif,kecewa download aplikasi promo pengguna voucher dipilih checkout error belanja voucher suda memenuhi syarat blnja k pengalaman memuaskan tolong perbaiki sistem checkout nya terimakasih
"Alhamdulillah SGT membantu dlm beli produk, pengiriman cepat, berkwalitas",5,positif,alhamdulillah sgt membantu dlm beli produk pengiriman cepat berkwalitas
top,5,positif,top
"banyak alesan katanya promo pelanggan pertama tapi pas co promo gk laku, niatnya baik apa stress sih gw dari tadi pindah toko dari shopee sampe sini sama aja shopee haus uang sini kikir promo",1,negatif,alesan promo pelanggan pas co promo gk laku niatnya stress sih gw pindah toko shopee sampe aja shopee haus uang kikir promo
hapus aja si saran gua ni aplikasi katanya bakal membantu indonesia buat naikin rupiah nyatanya malah rusak hadeh,1,negatif,hapus aja si saran gua ni aplikasi membantu indonesia naikin rupiah rusak hadeh
sangat mengecewakan skrg tokopedia sistemnya sgt buruk..terllu mudah batalkan pengiriman..trs sgt sulit untuk mengambil uag kita kembali..sgt riber..dlu tdk sprti itu.,1,negatif,mengecewakan skrg tokopedia sistemnya sgt burukterllu mudah batalkan pengirimantrs sgt sulit mengambil uag kembalisgt riberdlu tdk sprti
"join misi festival bola dapet voucher 50k tapi gak ada sama sekali voucher masuk, dikomplain balesnya lama banget diproses diproses. giliran dibales bilangnya voucher kedaluwarsa. apanya yang kedaluwarsa.. masuk aja gak itu voucher, minta kompensasi juga gak dikasih. buruk banget pelayanan mu. pantes mau bangkrut",1,negatif,join misi festival bola dapet voucher k gak voucher masuk dikomplain balesnya banget diproses diproses giliran dibales bilangnya voucher kedaluwarsa apanya kedaluwarsa masuk aja gak voucher kompensasi gak dikasih buruk banget pelayanan mu pantes bangkrut
oke banget,5,positif,oke banget
cukup puas,5,positif,puas
Promonya hilang waktu mau bayar,1,negatif,promonya hilang bayar
"apk gajelas njir baru download tokped trs mau belanja pake voucher pengguna baru tapi gabisa dipake huft, katanya disuruh belanja tanpa voucher hadeh. tlong perbaiki deh biar banyak pengguna nya",3,netral,apk gajelas njir download tokped trs belanja pake voucher pengguna gabisa dipake huft disuruh belanja voucher hadeh tlong perbaiki deh biar pengguna nya
"apasih ini. tertera ada promo. pas dipakai malah promonya suruh ngilangin. padahal aku udah ngejar promo nya . kalau gk bisa ya gak usah promo""an lah. ujung""nya malah lebih mahal dari pada harga yang tertera",1,negatif,apasih tertera promo pas dipakai promonya suruh ngilangin udah ngejar promo nya gk ya gak promoan ujungnya mahal harga tertera
"mau beralih dr toko oren ke tokopedia,di topet malah tambah buruk,pesanan gk di kirim2 sama penjual,penjual di chat jg gk respon atau balas chat,klo sampe jatuh tempo pengiriman n ad pembatalan otomatis ya auto uninstal aja",2,negatif,beralih dr toko oren tokopediadi topet burukpesanan gk kirim penjualpenjual chat jg gk respon balas chatklo sampe jatuh tempo pengiriman n ad pembatalan otomatis ya auto uninstal aja
bagusss,5,positif,bagusss
Pencarian product sering time out,1,negatif,pencarian product time out
dari pagi sampe sekarang gak bisa di akses nih tokped. di oc di hp sama wae,1,negatif,pagi sampe gak akses nih tokped oc hp wae
mantaapp,5,positif,mantaapp
jujur nih Tokopedia berkembang pesat dari pada si oren🔥,5,positif,jujur nih tokopedia berkembang pesat si oren
telalu mantap,5,positif,telalu mantap
BUAT APA ADA PROMO KALO GABISA DIPAKE ANEH STRES SIA MUN SAKIRANA MAH TE NIAT GEUS TONG NYIEN TOKO ONLINE ..,1,negatif,promo kalo gabisa dipake aneh stres sia mun sakirana mah te niat geus tong nyien toko online
